ID Producto,SKU,Nombre,Descripcion,Tamano Unidad,Medida Unidad,ID Presentación,Unidades por Paquete,Unidades por Presentación,Costo por Paquete,Costo Unitario,Moneda,ID Barcode,Codigo de Barras,Precio de Venta
564,MAR-PEP-140-UND-0FE9,"Pepitonas Margarita Picante, 140 gr ","Pepitonas Margarita Picante, 140 gr ",140.00,UND,388,35,35,"56,00",1.60,USD,175,7591002700058,150000
565,NAS-CAF-125-GR-0669,"Cafe Nasif, 125 gr","Cafe Nasif, 125 gr",125.00,GR,389,24,24,"148000,00",6166.67,COP,176,6,156000
566,NAS-CAF-250-GR-641D,"Cafe Nasif, 250 gr","Cafe Nasif, 250 gr",250.00,GR,390,24,24,"259000,00",10791.67,COP,177,7,288000
567,NAS-CAF-500-GR-3C31,"Cafe Nasif, 500 gr","Cafe Nasif, 500 gr",500.00,GR,391,24,24,"500000,00",20750.00,COP,178,8,528000
568,SAV-SHA-ANT-X-510-ML-DA11,"Shampoo Savital Anticaspa, 510 ml ","Shampoo Savital Anticaspa, 510 ml ",510.00,ML,392,1,1,"11000,00",11000.00,COP,179,7702006653275,12500
569,SAV-SHA-ACE-510-ML-ED11,"Shampoo Savital Aceite de Argan, 510 ml","Shampoo Savital Aceite de Argan, 510 ml",510.00,ML,393,1,1,"11000,00",11000.00,COP,180,7702006208581,12500
570,SAV-SHA-HIA-510-ML-1888,"Shampoo Savital Hialuronico, 510 ml","Shampoo Savital Hialuronico, 510 ml",510.00,ML,394,1,1,"11000,00",11000.00,COP,181,7702006405980,12500
571,SAV-SHA-AMI-510-ML-D25C,"Shampoo Savital, Aminoacidos, 510 ml","Shampoo Savital, Aminoacidos, 510 ml",510.00,ML,395,1,1,"11000,00",11000.00,COP,182,7702006406444,12500
572,SAV-SHA-ELI-510-ML-942C,"Shampoo Savital Elixir Romero, 510 ml","Shampoo Savital Elixir Romero, 510 ml",510.00,ML,396,1,1,"11000,00",11000.00,COP,183,7702191522295,12500
573,RAI-ACC-RAP-174-GR-E394,"Insecticida Raid Accion Rapida, 174 gr","Insecticida Raid Accion Rapida, 174 gr",174.00,GR,397,1,1,"11000,00",10800.00,COP,184,7501032926175,12500
574,GEN-PAC-TAC-X-450-GR-EA84,"Galleta Paco Taco, 1 X 5","Galleta Paco Taco, 1 X 5",5.00,UND,398,21,21,"132000,00",6333.33,COP,185,7704269110274,136000
